Model,Family,Accuracy,Precision,Recall,F1,ROC-AUC,Status,Note,f1_ci_low,f1_ci_high,f1_ci_width,CV Acc Mean,CV Acc Std,CV F1 Mean,CV F1 Std
Neural Net (Basic MLP),deep,0.95903911302741,0.9741420744016149,0.9503891962862234,0.9621190544004558,0.9945122875414663,ok,"Two hidden blocks, dropout 0.3.",0.9593863088351414,0.9646634190796924,0.00527711024455102,,,,
Neural Net (Deep MLP),deep,0.9586798070013346,0.9785436893203884,0.945231173215793,0.9615990077756046,0.9946142101921863,ok,"Four hidden blocks, tapering width.",0.9590221965877237,0.9641794935147129,0.0051572969269891855,,,,
Neural Net (Regularized MLP),deep,0.9579098655168874,0.978605465331129,0.9437306574134859,0.9608517139310608,0.994262247655569,ok,L2 1e-4 + dropout 0.45.,0.9581764259132722,0.9635692809946974,0.005392855081425174,,,,
