Model,Feature,Importance
Gradient Boosting,Service Quality Score,0.006051220409737759
Gradient Boosting,Gender_Female,0.006448039492082689
Gradient Boosting,Gender_Male,0.00789395186817342
Gradient Boosting,Customer Type_Loyal Customer,0.014692017637146849
Gradient Boosting,Customer Type_disloyal Customer,0.017801562718903725
Gradient Boosting,Type of Travel_Business travel,0.016912220066339773
Gradient Boosting,Type of Travel_Personal Travel,0.00855817993471479
Gradient Boosting,Class_Business,0.020422178381339754
Gradient Boosting,Class_Eco,0.0
Gradient Boosting,Class_Eco Plus,0.0
Gradient Boosting,Flight Distance Category_Long,0.0
Gradient Boosting,Flight Distance Category_Medium,0.0
Gradient Boosting,Flight Distance Category_Short,0.0
Extra Trees,Age,0.01792552788001684
Extra Trees,Flight Distance,0.015514837184480988
Extra Trees,Seat comfort,0.08962126664512675
Extra Trees,Departure/Arrival time convenient,0.021811308267413787
Extra Trees,Food and drink,0.039745151448948815
Extra Trees,Gate location,0.01952004232823242
Extra Trees,Inflight wifi service,0.015873881313394563
Extra Trees,Inflight entertainment,0.11627997263685792
Extra Trees,Online support,0.05100256691355321
Extra Trees,Ease of Online booking,0.06552301601426355
Extra Trees,On-board service,0.03361629588646487
Extra Trees,Leg room service,0.03165212508771519
Extra Trees,Baggage handling,0.026404750553589356
Extra Trees,Checkin service,0.03104829307040621
Extra Trees,Cleanliness,0.02822047608847705
Extra Trees,Online boarding,0.03135709644053628
Extra Trees,Departure Delay in Minutes,0.012507540521861295
Extra Trees,Arrival Delay in Minutes,0.012974873746727797
Extra Trees,Total Delay,0.013185203891380531
Extra Trees,Service Quality Score,0.052084803990734424
Extra Trees,Gender_Female,0.03097711687795502
Extra Trees,Gender_Male,0.03495878057044657
Extra Trees,Customer Type_Loyal Customer,0.03552303590374343
Extra Trees,Customer Type_disloyal Customer,0.035821000141350846
Extra Trees,Type of Travel_Business travel,0.027903939792045567
Extra Trees,Type of Travel_Personal Travel,0.02661975709861589
Extra Trees,Class_Business,0.03657919975286956
Extra Trees,Class_Eco,0.022722230473167015
Extra Trees,Class_Eco Plus,0.00371848865403688
Extra Trees,Flight Distance Category_Long,0.005802005332665492
Extra Trees,Flight Distance Category_Medium,0.0063711898769618506
Extra Trees,Flight Distance Category_Short,0.007134225615960024
